Review,Liked,cleaned_review,raw_length,cleaned_length
Wow... Loved this place.,1,wow loved place,24,15
Crust is not good.,0,crust good,18,10
Not tasty and the texture was just nasty.,0,tasty texture nasty,41,19
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved,87,61
The selection on the menu was great and so were the prices.,1,selection menu great price,59,26
Now I am getting angry and I want my damn pho.,0,getting angry want damn pho,46,27
Honeslty it didn't taste THAT fresh.),0,honeslty didnt taste fresh,37,26
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell made ahead time kept warmer,111,57
The fries were great too.,1,fry great,25,9
A great touch.,1,great touch,14,11
Service was very prompt.,1,service prompt,24,14
Would not go back.,0,would go back,18,13
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier care ever say still ended wayyy overpriced,99,50
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberrymmmm,60,43
I was disgusted because I was pretty sure that was human hair.,0,disgusted pretty sure human hair,62,32
I was shocked because no signs indicate cash only.,0,shocked sign indicate cash,50,26
Highly recommended.,1,highly recommended,19,18
Waitress was a little slow in service.,0,waitress little slow service,38,28
"This place is not worth your time, let alone Vegas.",0,place worth time let alone vega,51,31
did not like at all.,0,like,20,4
The Burrittos Blah!,0,burrittos blah,19,14
"The food, amazing.",1,food amazing,18,12
Service is also cute.,1,service also cute,21,17
I could care less... The interior is just beautiful.,1,could care less interior beautiful,52,34
So they performed.,1,performed,18,9
That's right....the red velvet cake.....ohhh this stuff is so good.,1,thats rightthe red velvet cakeohhh stuff good,67,45
- They never brought a salad we asked for.,0,never brought salad asked,42,25
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street taco friendly staff,73,50
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food table restaurant food luke warm sever running around like totally overwhelmed,141,96
The worst was the salmon sashimi.,0,worst salmon sashimi,33,20
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combo like burger fry beer decent deal,83,43
This was like the final blow!,0,like final blow,29,15
I found this place by accident and I could not be happier.,1,found place accident could happier,58,34
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere,115,76
"Overall, I like this place a lot.",1,overall like place lot,33,22
The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeeming quality restaurant inexpensive,78,40
Ample portions and good prices.,1,ample portion good price,31,24
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like stupid every time came table,88,63
My first visit to Hiro was a delight!,1,first visit hiro delight,37,24
Service sucks.,0,service suck,14,12
The shrimp tender and moist.,1,shrimp tender moist,28,19
There is not a deal good enough that would drag me into that establishment again.,0,deal good enough would drag establishment,81,41
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether side good grossed melted styrofoam didnt want eat fear getting sick,147,86
"On a positive note, our server was very attentive and provided great service.",1,positive note server attentive provided great service,77,53
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen puck disgust worst people behind register,75,48
The only thing I did like was the prime rib and dessert section.,1,thing like prime rib dessert section,64,36
It's too bad the food is so damn generic.,0,bad food damn generic,41,21
"The burger is good beef, cooked just right.",1,burger good beef cooked right,43,29
If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehouse,52,26
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dressing tasty pita hummus refreshing,102,60
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare pink tender inside nice char outside,98,54
He came running after us when he realized my husband had left his sunglasses on the table.,1,came running u realized husband left sunglass table,90,51
Their chow mein is so good!,1,chow mein good,27,14
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horrible attitude towards customer talk one customer dont enjoy food,112,68
The portion was huge!,1,portion huge,21,12
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved itfriendly server great food wonderful imaginative menu,72,61
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vega absolutely flatlined excuse restaurant,93,71
Not much seafood and like 5 strings of pasta at the bottom.,0,much seafood like string pasta bottom,59,37
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauce power scallop perfectly cooked,103,55
"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana ripped petrified tasteless,67,40
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave minute,84,45
This place receives stars for their APPETIZERS!!!,1,place receives star appetizer,49,29
The cocktails are all handmade and delicious.,1,cocktail handmade delicious,45,27
We'd definitely go back here again.,1,wed definitely go back,35,22
We are so glad we found this place.,1,glad found place,35,16
"Great food and service, huge portions and they give a military discount.",1,great food service huge portion give military discount,72,54
Always a great time at Dos Gringos!,1,always great time do gringo,35,27
Update.....went back for a second time and it was still just as amazing,1,updatewent back second time still amazing,71,41
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,got food apparently never heard salt batter fish chewy,98,54
A great way to finish a great.,1,great way finish great,30,22
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included tasting drink jeff went beyond expected,91,53
"- Really, really good rice, all the time.",1,really really good rice time,41,28
The service was meh.,0,service meh,20,11
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took min get milkshake nothing chocolate milk,87,45
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess known place would suck inside excalibur didnt use common sense,128,68
The scallop dish is quite appalling for value as well.,0,scallop dish quite appalling value well,54,39
2 times - Very Bad Customer Service !,0,time bad customer service,37,25
The sweet potato fries were very good and seasoned well.,1,sweet potato fry good seasoned well,56,35
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time ive lunch buffet pretty good,80,46
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vega feel cheated wasting eating opportunity going rice company,119,78
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming like experiencing underwhelming relationship party cant wait person ask break,133,84
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap others eating,87,55
The turkey and roast beef were bland.,0,turkey roast beef bland,37,23
